label,year,month,total,ppi
2018 Jan,2018,Jan,135.7,257.5
2018 Feb,2018,Feb,136.6,261.9
2018 Mar,2018,Mar,137.6,261.8
2018 Apr,2018,Apr,138.5,261.9
2018 May,2018,May,138.4,262.1
2018 Jun,2018,Jun,137.4,261.9
2018 Jul,2018,Jul,138.7,262.1
2018 Aug,2018,Aug,139.2,262.4
2018 Sep,2018,Sep,138.1,262
2018 Oct,2018,Oct,138.2,262
2018 Nov,2018,Nov,139.3,265.5
2018 Dec,2018,Dec,138.7,265.7
2019 Jan,2019,Jan,139.1,269.8
2019 Feb,2019,Feb,138.8,270.1
2019 Mar,2019,Mar,140.1,270.3
2019 Apr,2019,Apr,140.1,270.4
2019 May,2019,May,139.8,271.1
2019 Jun,2019,Jun,140.3,271
2019 Jul,2019,Jul,140.5,270.9
2019 Aug,2019,Aug,139.6,271.4
2019 Sep,2019,Sep,140.7,271.2
2019 Oct,2019,Oct,139.7,272.5
2019 Nov,2019,Nov,138.7,272.9
2019 Dec,2019,Dec,139.8,273
2020 Jan,2020,Jan,140.1,273
2020 Feb,2020,Feb,140,273
2020 Mar,2020,Mar,139.3,273
2020 Apr,2020,Apr,127.5,273.1
2020 May,2020,May,122.8,273.1
2020 Jun,2020,Jun,123.9,273.1
2020 Jul,2020,Jul,125.4,273.4
2020 Aug,2020,Aug,127.4,273.5
2020 Sep,2020,Sep,129.6,273.5
2020 Oct,2020,Oct,131.6,273.8
2020 Nov,2020,Nov,132.3,274.9
2020 Dec,2020,Dec,132.2,274.9
2021 Jan,2021,Jan,133.1,275
2021 Feb,2021,Feb,133.1,276.4
2021 Mar,2021,Mar,133.8,276.5
2021 Apr,2021,Apr,132.8,276.5
2021 May,2021,May,136.4,278.1
2021 Jun,2021,Jun,137.9,279
2021 Jul,2021,Jul,140.6,289.077
2021 Aug,2021,Aug,140.4,292.995
2021 Sep,2021,Sep,138.1,293.436
2021 Oct,2021,Oct,137.2,293.797
2021 Nov,2021,Nov,135.7,294.258
2021 Dec,2021,Dec,138.4,294.938
2022 Jan,2022,Jan,138.6,297.866
2022 Feb,2022,Feb,139.7,303.409
2022 Mar,2022,Mar,140.8,304.091
2022 Apr,2022,Apr,134.4,305.013
2022 May,2022,May,132.1,314.736
2022 Jun,2022,Jun,131.3,329.007
2022 Jul,2022,Jul,130.6,330.648
2022 Aug,2022,Aug,129.8,333.711
2022 Sep,2022,Sep,129.9,334.178
2022 Oct,2022,Oct,130.4,334.302
2022 Nov,2022,Nov,130.2,338.761
2022 Dec,2022,Dec,130.5,339.069
