Year,Category,Value
2023,Food & Treats,62.7
2023,Vet Care & Product,37
2023,Other Service,11.8
2023,Supplies & OTC Medicine,32.1
2022,Food & Treats,58.1
2022,Vet Care & Product,35.9
2022,Other Service,11.4
2022,Supplies & OTC Medicine,31.5
2021,Food & Treats,50
2021,Vet Care & Product,34.3
2021,Other Service,9.5
2021,Supplies & OTC Medicine,29.8
2020,Food & Treats,42
2020,Vet Care & Product,31.4
2020,Other Service,8.1
2020,Supplies & OTC Medicine,22.1
2019,Food & Treats,36.9
2019,Vet Care & Product,29.3
2019,Other Service,10.3
2019,Supplies & OTC Medicine,19.2
